Name,Rating,Origin,Roast Level,Aroma,Acidity/Structure,Body,Flavor,Aftertaste,Review
Kenya Kiamwangi Factory AA TOP,94,"Nyeri growing region, south-central Kenya",Medium-Light,9,9,8,9,9,"A rich-toned, sweetly savory Kenya with enticing floral notes throughout the profile and classic black currant up front in the nose and on the mid-palate."
Ethiopia Sidama Bensa Hamasho Washed TOH#2,94,"Sidamo growing region, southern Ethiopia",Light,9,9,9,9,8,"A meandering sensory journey: floral, crisply fruity, sweetly herbaceous and cocoa-toned."
X’mas Blend,93,Ethiopia; El Salvador,Medium-Light,9,9,8,9,8,"A thoughtful Ethiopia/El Salvador blend that’s, at turns, chocolaty and rich and tartly fruit-toned."
Ethiopia Sidama Arbegona Bochesa Natural,93,"Sidamo growing region, southern Ethiopia",Light,9,8,9,9,8,"A vibrantly sweet, gently tart Ethiopia natural with leading notes of hibiscus and dried cranberry, supported by cocoa nib and rich aromatic wood tones."
Ethiopia Sidama Arbegona Natural ASD TOH#2,92,"Sidamo growing region, southern Ethiopia",Light,8,8,9,9,8,"A fruit-toned experimentally processed Ethiopia with a floral, nutty throughline."
Costa Rica Red Java Honey Finca Los Pinitos,95,"Alajuela, Central Valley, Costa Rica",Light,9,9,9,9,9,"A Costa Rica Java red honey that delivers on all fronts with deep fruit, rich chocolate, citrus, honey, and spice-toned florals — confident, balanced, satisfying."
Costa Rica Finca El Cañal Double Diamond,94,"Alajuela, Central Valley, Costa Rica",Light,9,9,9,9,8,"A lovely anaerobic Costa Rica Sarchimor, meticulously processed to foreground sweet berry and deep chocolate notes."
Honduras Roger Dominguez,94,"La Paz, Marcala growing region, Honduras",Light,9,8,9,9,9,"An elegant, complex natural-processed single-variety Honduras that’s berry-driven with a sweet herb and cocoa nib throughline."
Ethiopia Dembi,93,"Sidamo growing region, southern Ethiopia",Light,8,9,9,9,8,Rich florals and complex citrus notes define this engaging Ethiopia natural that’s rich-toned and deep.
Guatemala Finca Los Dos Socios,93,"El Chalum, La Libertad, Huehuetenango Department, Guatemala",Medium-Light,9,8,9,9,8,"A deep-toned, sweetly nutty, crisply chocolaty washed Guatemala with undertones of tropical fruit."
Guatemala Buenos Aires,93,"Huehuetenango Department, Guatemala",Light,9,8,9,9,8,"A high-toned, crisply chocolaty Guatemala natural — bright, citrusy and floral-toned."
Honduras Pacayal Regenerative Organic-Certified,93,"La Paz, Marcala growing region, Honduras",Medium-Light,8,9,9,9,8,"A Regenerative Organic Certified® (ROC™), natural-processed Honduras that’s quietly confident, richly chocolaty, and delicately fruity."
Decaf Mexico Esmeralda,92,"Oaxaca, Mexico",Medium-Light,8,8,9,9,8,"A solid Mexico decaf — natural-processed, which highlights the cup’s inherent fruit tones."
Thai Law Wu,91,"Chiang Mai, Thailand",Medium-Light,9,8,8,9,7,"A sweetly herbaceous, crisply cocoa-toned, black honey-processed Thai cup."
Ngurueri Kenya,94,"Embu County, Kenya",Light,9,9,8,9,9,"An umami throughline distinguishes this classic Kenya, which is bright, juicy, deep and complex."
Cruz Loma Ecuador,94,"San José de Minas, Pichincha Province, Ecuador",Light,9,9,9,9,8,"Pretty notes of sweet herbs, cocoa nib, and spice-toned florals carry this washed Ecuador Sidra with especially nice, high-toned acidity."
El Faldon Colombia,93,"Huila Department, Colombia",Medium-Light,9,8,9,9,8,"A cocoa-toned washed Colombia cup with a floral throughline, complicated by rich aromatic wood and amber notes."
Colombia Monteblanco Nectar Citrullus Secret Stash,94,"Peñas Blancas Mountains, Acevedo, Colombia",Medium-Light,9,8,9,9,9,This uniquely composed co-fermented Colombia displays a melony sweetness supported by baking chocolate and tropical fruit.
Costa Rica La Laguna Lot Secret Stash,94,"Tarrazu, Costa Rica",Light,9,9,9,9,8,"This natural-processed Costa Rica Caturra has heady and fruit-laden aromatics, whose promise is fulfilled in the cup."
Costa Rica La Casilla Secret Stash,93,"Tarrazu, Costa Rica",Medium-Light,9,8,9,9,8,"A delicately sweet, crisply cocoa-toned honey-processed Costa Rica cup with an especially nice, viscous body."
Colombia El Mirador Natural Secret Stash,93,"Huila Department, Colombia",Medium-Light,9,9,8,9,8,"A deeply chocolaty, berry-driven Colombia, processed by the thermal shock method, that delivers layers of fruit, nut and citrus tones."
Ethiopia Natural Lion 88,94,"Guji Zone, Oromia region, southern Ethiopia",Light,9,9,9,9,8,"An invitingly complex Ethiopia natural driven by notes of sweet berries, deep chocolate, and gentle, aromatic herbs."
Ethiopia Washed Baby Geisha,93,"Djimma Limu, Sidamo growing region, Ethiopia",Light,9,9,8,9,8,A classic washed Ethiopia Geisha — bright and juicy with citrus and stonefruit notes throughout and a cocoa nib base.
Ethiopia Anaerobic Washed Wild Rose,92,"Sidamo growing region, Ethiopia",Light,8,8,9,9,8,An Ethiopia anaerobic with tart fruit notes and crisply sweet floral undertones.
PNG New Heaven,92,Papua New Guinea,Medium-Light,9,8,8,9,8,"A balanced PNG cup with notes of stonefruit and citrus front and center, supported by crisp cocoa nib and rich aromatic wood underneath."
Panama Lamastus Family Elida Estate Loma Geisha Washed,97,"Boquete growing region, western Panama",Light,10,9,9,10,9,"This classic washed Panama Geisha delivers on all counts with rich aromatics, complex citrus, floral stone fruit and cocoa nib notes, bright, balanced acidity and a long, satisfying finish."
Colombia Santa Monica Pink Bourbon Honey Co-Ferment Strawberry,93,"Quindio Department, Colombia",Light,9,9,8,9,8,"A Colombia Pink Bourbon co-fermented with strawberries for an intensely fruit-forward, cocoa-toned cup."
Bolivia Finca Alasitas Geisha Natural,93,"Caranavi, Bolivia",Light,9,9,8,9,8,"A pretty Bolivia natural with sweet floral, complex citrus and tropical fruit impulses."
Colombia Finca Juan Martin Sidra Natural,93,"Sotara, Cauca Department, Colombia",Medium-Light,9,8,9,9,8,Spice-toned florals and sweetly tart fruit notes are front and center in this confident natural Colombia Sidra.
Sumatra Suku Batak,93,"Lintongnihuta, northern Sumatra, Indonesia",Medium-Light,9,8,9,9,8,"A classic Sumatra profile with its sweet earthiness and rich, viscous body — sweet, savory, deep-toned."
Colombia El Paraiso Geisha Anti-Maceration,95,"Piendamo, Cauca Department, Colombia",Light,9,9,9,9,9,"A Colombia Geisha on steroids, processed by a proprietary and meticulous method that concentrates the fruit, spice and floral tones inherent in this coffee."
Ethiopia Alo Chilaka Natural,94,"Sidamo growing region, southern Ethiopia",Light,9,8,9,9,9,"A richly aromatic, stone fruit-driven single-variety Ethiopia natural — clean, juicy, bright and richly sweet-tart."
Panama Bambito Gesha,94,"Bambito Mountains, Chiriqui, Panama",Light,9,9,9,9,8,A washed Panama Gesha with candy-like sweetness complicated by cocoa nib and sweet herb undertones.
Kona Monarch Gesha Champagne,93,"Holualoa, North Kona growing district, Hawai’i Island",Medium-Light,9,9,8,9,8,This fruit-centered anaerobic washed Kona Gesha gets ballast from rich nut and sweet floral tones throughout the profile.
Panama Geisha Vuelta DRD Natural,97,"Boquete growing region, western Panama",Light,10,9,9,10,9,"A resonant, lyrically sweet, impossibly complex, yet immanently inviting Panama Geisha."
Kona S12 Kaffa Washed,96,"Hōlualoa, North Kona, Hawai’i Island",Light,9,9,9,10,9,"A fascinating coffee — a variety that originated in Ethiopia grown in Hawai’i from seed and cultivated over many years to produce just four pounds. Well worth the splurge for its citrusy, spice-toned, sweetly herbaceous cup."
Kona Geisha Rosé Washed,96,"Hōlualoa, North Kona, Hawai’i Island",Light,9,9,9,10,9,"A double-fermented Kona Geisha processed with wine yeasts, resulting in an extraordinary, uniquely composed coffee — a journey through the sensory aromas and flavors of the tropics."
Colombia Cafe La Granja Pink Bourbon,96,"Caicedonia, Valle del Cauca Department, Colombia",Light,9,9,9,10,9,"A lovely anaerobic Colombia Pink Bourbon with a distinct strawberry throughline, whose nuances range from wild-forest berry to just toasted PopTart. A fun one!"
Colombia Cafe La Granja Sudan Rume Natural,95,"Caicedonia, Valle del Cauca Department, Colombia",Light,9,9,9,9,9,"An enigmatic, very complex natural-processed Colombia Sudan Rume, rich and very sweet, complicated by spicy florals, deep chocolate, and sweet herbs."
Panama Tierra Blanca C-5 Geisha Washed BOP-GW-05,97,"Boquete growing region, western Panama",Light,10,9,9,10,9,"A delicate, resonant, classic washed Geisha profile with spice-toned floral, distinct stone fruit, sweet herb, complex citrus and rich cocoa notes throughout the integrated profile."
Taiwan Zou Zhou Yuan Estate Geisha Natural,92,"Alishan, Taiwan",Medium-Light,9,8,8,9,8,"A floral-driven, spice-laden Taiwan cup roasted in London — vanilla-like sweetness meets piquant herbiness."
Kenya AA Kangiri New Irati,95,"Kigumo growing region, Muranga County, Kenya",Light,9,9,9,9,9,"An exciting Kenya: very bright, vibrant, fruit-centered and floral with a dark chocolate throughline."
Costa Rica Central Valley Honey Geisha,94,"Alajuela, Central Valley, Costa Rica",Light,9,9,9,9,8,"An enticing honey-processed Costa Rica Geisha with distinct cocoa nib, sweet spice, and complex nut tones."
Ethiopia Sidama Bombe G1 Washed,94,"Sidamo growing region, southern Ethiopia",Light,9,9,9,9,8,"A sweet-tart, washed Ethiopia characterized by deep stone fruit and cocoa nib notes, alongside spicy florals."
Costa Rica Lilo Microlot,93,"Tarrazu, Costa Rica",Light,9,9,8,9,8,"A floral-toned, washed Costa Rica complicated by melon and citrus notes grounded by rich, creamy nut tones."
Ethiopia Guji Buku Sayisa G1 Natural,92,"Guji Zone, Oromia region, southern Ethiopia",Medium-Light,8,8,9,9,8,A berry-forward natural Ethiopia with cocoa underpinnings and rich aromatic wood notes throughout the profile.
Guatemala Finca Santa Isabel SL28 COE #13,93,"San Cristobal Verapaz, Alta Verapaz, Antigua Department, Guatemala",Medium,9,9,8,9,8,"An inviting, well-rounded washed Guatemala SL28 driven by rich chocolate and creamy-sweet nut tones, complicated by bittersweet citrus and nice aromatic wood notes."
Kahiko Orange,98,"Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,10,10,9,10,9,"A remarkably complex, satiating, enigmatic Kona Typica co-fermented with Kona oranges grown on the same farm. Hard to imagine someone who wouldn’t love this coffee."
Kenya Washed Kiambu Yara Estate PB TOP,97,"Ruiru, Kiambu County, south-central Kenya",Medium-Light,9,10,9,10,9,"Classic Kenya on steroids — this peaberry cup packs a currant, dark chocolate, green tomato and sweet herb punch for an exquisite and unmistakable experience of this revered and unique coffee-growing region."
Kona Orange,96,"Holualoa, North Kona growing district, “Big Island” of Hawai’i",Light,9,9,9,10,9,"A lovely Kona-grown SL34 co-fermented with oranges grown on the same farm — nuanced, rich, compelling throughout the profile."
Colombia Wilton Benitez Sudan Rume,96,"Piendamo, Cauca Department, Colombia",Light,9,9,9,10,9,"An enigmatic, rewarding, expressive rare variety of Arabica processed in such a way that its complexity is amplified and extended."
Ethiopia Washed Gute 74110 Lot JH,95,"Sidamo growing region, southern Ethiopia",Light,9,9,9,9,9,"A classic washed Ethiopia cup: bright, balanced, juicy and vibrant — especially harmonious and coherent throughout the profile."
Ethiopia Natural Sidama Bura Karamo 74158,95,"Sidamo growing region, southern Ethiopia",Light,9,9,9,9,9,"An elegantly structured, rich and multi-layered natural-processed Ethiopia cup — bright, juicy, fruity, floral, chocolaty."
Taiwan Honey Alishan Ming Yang Yuan Gesha,95,"Alishan, Taiwan",Light,9,9,9,9,9,"A richly aromatic, deep-toned, confident natural-processed Taiwan driven by notes of wild berries, complex florals, and nuanced aromatic wood notes."
Kenya Washed Kiambu AB TOP Lot Yerihar,94,"Kiambu County, south-central Kenya",Medium-Light,9,9,9,9,8,"An intriguing Kenya cup with layers of tart fruit, deep florals and cocoa notes throughout — tropical leaning and rich."
Kenya Ibonia Estate,95,"Kiambu County, Kenya",Medium-Light,9,9,9,9,9,"A stone fruit-driven, crisply cocoa-toned, classic Kenya cup with undertones of sweet citrus and gently fruity spice notes."
Ethiopia Worka Sakaro,94,"Gedeb District, Gedeo Zone, southern Ethiopia",Light,9,8,9,9,9,"A flavor-laden anaerobic natural Ethiopia: lactic-tangy, chocolaty-sweet, citrusy and complex."
Ethiopia Washed Guji Uraga Tebe Burka,94,"Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,9,9,9,9,8,"A classic washed Ethiopia profile at its best: richly chocolaty, deeply floral, balanced and juicy-bright."
Colombia Decaf Granja Paraiso 92,93,"Piendamo, Cauca Department, Colombia",Medium-Light,9,8,9,9,8,"We couldn’t tell this was decaf in a blind cupping — it’s chocolaty, syrupy, deep-toned and rich."
Ethiopia Natural Sidama ALO Village SKY Project FL,94,"Sidamo growing region, southern Ethiopia",Medium-Light,8,9,9,9,9,"A harmonious, cleanly natural-processed Ethiopia deeply fruit-toned, complex, inviting."
Taiwan Natural Alishan Chi Tsai Liu Li Ecological Farm,94,"Alishan, Taiwan",Medium-Light,9,9,9,9,8,"A vibrantly citrusy, cocoa-toned natural-processed Taiwan cup with an especially plush, syrupy mouthfeel and sweetly spicy floral undertones."
Wilton Benitez SL28,96,"Piendamo, Cauca Department, Colombia",Medium-Light,9,9,9,10,9,"This uniquely composed, proprietarily processed Colombia SL28 leads with a candylike nose — think Jolly Rancher — and morphs into a floral, berry-toned powerhouse."
Kolla Bolcha #6 Ethiopia,94,"Agaro, Oromia region, Ethiopia",Medium-Light,9,9,8,9,9,"This lovely washed Ethiopia is all about stone fruit, both in the nose and in the cup. There’s bing cherry at the tart end and lychee at the sugary end, with crisp cocoa nib and a sweet herbaceousness as ballast."
Bener Meriah Sumatra,94,"Aceh, Sumatra, Indonesia",Medium-Light,9,9,9,9,8,"A spice-toned cup — floral and sweet — with complex fruit and baking spices at the center. Powerful, deep, rich."
Yemen Haraaz,96,"Sharqi, Haraaz, Yemen",Light,9,9,9,10,9,"A beautiful expression of Yemen’s meticulous sun-drying process that reveals layers of complex spice, fruit, earth and floral tones — a fruity tobacco note further complicates and elevates this cup."
Ethiopia Yirgacheffe Hama Honey,95,"Yirgacheffe growing region, south-central Ethiopia",Medium-Light,9,9,9,9,9,"An impressive Ethiopia honey that’s paradoxically delicate and intense, driven by sweet-tart berry, rich chocolate and spice-toned floral notes."
Colombia Finca Santuario Red Bourbon Natural,95,"Cauca Department, Colombia",Light,9,9,9,9,9,"A high-toned, harmonious, integrated Colombia Red Bourbon natural that’s a chocolaty, fruity extravaganza."
Ethiopia Yirgacheffe Gutiti Gargari Natural,94,"Yirgacheffe growing region, south-central Ethiopia",Medium-Light,9,9,9,9,8,"A fruit-forward, Ethiopia with deep nut and cocoa undertones and especially vibrant, engaging body."
130 Blend,94,Guatemala; Ethiopia,Medium-Light,9,9,9,9,8,"A pretty blend of washed Guatemala and natural-processed Ethiopia coffees that offers berry top notes, amber underneath, and a cocoa nib throughline."
Ethiopia Bench Maji Gori Gesha ORO Yeast Natural G1,94,"Bench-Maji Zone, southern Ethiopia",Medium-Light,9,9,9,9,8,A richly perfumed natural Ethiopia Gesha with big florals up front and complex bittersweet-tart fruit notes as ballast.
Fruits Melody,94,Ethiopia,Light,9,9,9,9,8,"An invitingly complex blend of Ethiopia coffees that foregrounds citrus and stone fruit notes, supported by gentle spice and cocoa tones."
Kenya Melwa AA Washed,94,"Nyeri growing region, south-central Kenya",Light,9,9,8,9,9,"For those who prefer a savory, herbaceous Kenya, this one fits the bill with notes of juicy green tomato and tamarind, supported by lush dark chocolate notes."
Matriarch,93,Brazil; Guatemala; Ethiopia,Medium-Light,9,8,9,9,8,"A nice omni-blend designed for either filter or espresso applications — quite sweet, gently tart, rich-toned."
Murphinator,92,"Mexico, Papua New Guinea",Medium,8,8,9,9,8,"A deftly darker roasted blend that brings depth without sacrificing fruit and floral notes — a well-rounded, comfortingly familiar cup."
Taiwan Symphony,92,Taiwan,Medium-Light,9,8,8,9,8,"A blend of coffees from undisclosed sources in Taiwan — crisp, chocolaty, with vanilla-like floral and sweet nut tones throughout."
Blue Notes,91,Guatemala; Colombia; Brazil; Myanmar,Medium-Light,8,8,8,9,8,"An interesting blend of coffees from four origins with leading notes of nuts, raisins and cocoa powder."
Colombia Wilton Benitez Thermal Shock Red Bourbon,94,"Piendamo, Cauca Department, Colombia",Light,9,9,9,9,8,"An inviting double-anaerobic, thermal shock-processed Red Bourbon produced by Colombia’s Wilton Benitez: delicately fruit-forward, crisply cocoa-toned, very sweet."
Colombia Sebastian Ramirez Washed Pink Bourbon,93,"Quindio Department, Colombia",Light,9,9,8,9,8,"Bright, sweetly tart stone fruit is the throughline of this washed Colombia Pink Bourbon, supported by crisp cocoa nib and delicate herb notes."
Ethiopia Dale,93,"Wensho Woreda, Sidamo growing region, Ethiopia",Light,9,9,8,9,8,"A lovely, classic washed Ethiopia cup with leading notes of cocoa, complex citrus, and spice-toned florals."
Panama Elida Estate Geisha Natural ASD T3D Auction Lot EG6,97,"Boquete growing region, western Panama",Light,9,10,9,10,9,"An elegant, multilayered, enticing Panama Geisha whose flavor-saturated cup fulfills its aromatic promise in spades."
El Salvador La Providencia Maria Pacas Bernadina Honey,95,"Los Naranjos, Juayua, Sonsonate, El Salvador",Light,9,9,9,9,9,"A flavor-laden, cocoa- and floral-toned El Salvador honey with rich sweetness and inviting depth."
Colombia El Vergel Martha Montenegro Rubi Marti Anaerobic,95,"Tolima Department, Colombia",Light,9,9,9,9,9,"An elegant, confident, multilayered anaerobic Colombia that leads with tropical fruit and baking spice notes — exceptionally sweet."
Ethiopia West Arsi Washed G1,95,"Guji Zone, southern Ethiopia",Light,9,9,9,9,9,"A classic washed Ethiopia cup: think cocoa nib, stone fruit, confident florals and sweet citrus — balanced, juicy, sweet and bright."
Ethiopia Washed Yirgacheffe Chelbesa SNNPR Gedeo G1,94,"Yirgacheffe growing region, south-central Ethiopia",Light,9,9,9,9,8,"A deep, spice-toned, richly aromatic washed Ethiopia, vibrant and balanced."
Chantilly Blend,93,Colombia; Panama; Costa Rica,Light,9,9,8,9,8,"A sweet, balanced blend characterized by bright stone fruit and cocoa nib throughout the profile."
Colombia Lulo Wonka Wonka & Sebastian Gomez,96,Colombia,Light,9,9,9,10,9,"What do you get when you cross a honey co-ferment with a natural Gesha? An extraordinary international collab between roaster and producers — this Colombia blend is exciting, dramatic, rich, complex, and above all, harmonious and integrated, and a darn good value, to boot."
Colombia Finca La Reserva,94,"Antioquia Department, Colombia",Light,9,9,9,9,8,"A fun roller coaster of a sensory ride: floral, fruity, citrusy and cocoa-toned, this complex anaerobic Colombia Geisha delights at every surprising turn."
Ethiopia Agaro Gera Duromina #14,93,"Agaro Gera, Jimma Zone, Oromia State, Ethiopia",Medium-Light,9,9,8,9,8,"This washed Ethiopia profile hits all the classic notes: bright stone fruit, crisp cocoa nib, sweet florals."
Ethiopia Asikana Natural,92,"Lalisa Birbir, Oromia Region, Ethiopia",Light,8,8,9,9,8,"A friendly natural-processed Ethiopia with leading notes of dark chocolate, red fruit, nut butter and citrus zest."
Mexico Montecristo Reserve,92,"Montecristo de Guerrero, Chiapas, Mexico",Medium-Light,8,8,9,9,8,"A satisfying Mexico cup with notes of dried fruit, spice-toned florals and crisp chocolate — balanced and sweet-toned."
Ethiopia Washed Ayla Bombe,94,"Sidamo growing region, southern Ethiopia",Medium-Light,9,9,8,9,9,"An appealing washed Ethiopia that’s quietly confident, wide-ranging and delicately precise — those who love cleanly communicated stone fruit and citrus notes will have a winner in this cup."
Anniversary Blend,92,Zambia; Ethiopia,Medium-Light,8,8,9,9,8,A blend of two African coffees to fruity-chocolaty effect — think tart cherry and crisply sweet baking chocolate.
Costa Rica Anaerobic Natural,92,"Los Santos, Tarrazú, Costa Rica",Medium-Light,9,8,9,9,7,"A uniquely composed anaerobic Costa Rica characterized by notes of baking spices, dried stone fruit and complex bittersweet florals."
Rwanda Muhororo Anaerobic,91,"Nyamasheke, Western Province, Rwanda",Light,8,7,9,9,8,A paradoxically tart and chocolaty anaerobic Rwanda with an especially full body and an intriguing amber-like nose that carries throughout the cup.
Ethiopia Mr. Ocholo Bedecho,95,"Haro Wachu, Uraga, Guji Zone, Oromia Region, Ethiopia",Light,9,9,9,9,9,"A natural-processed Ethiopia with dessert-like sweetness across a range of fruit notes, including passionfruit, fresh blueberry and coconut."
Osmanthus Oolong Blend,88,Colombia; Ethiopia,Light,8,7,8,8,7,A distinct osmanthus note is the throughline of this unusual blend of Ethiopia and co-fermented anaerobic Colombia coffees — the aromas and flavors of the co-fermented coffee are more prominent than the Ethiopia.
Colombia Nestor Lasso El Diviso Chiroso,93,"Pitalito, Huila Department, Colombia",Light,9,8,9,9,8,A fruity-tart anaerobic natural Colombia that gets ballast from notes of baking chocolate and rich aromatic cedar.
Colombia Pink Champagne El Mirador Blend,94,"Huila Department, Colombia",Light,9,9,8,9,9,"A deeply aromatic, integrated, berry- and floral-toned Colombia carbonic maceration with high-toned acidity and a very long, satisfying finish."
Colombia Geisha,93,"Valle de Cauca, Cauca Department, Colombia",Light,9,9,8,9,8,"A punchy, sweetly tart Colombia Geisha with especially lively, balanced acidity and a stone fruit and floral throughline."
Guatemala El Injerto Malawi Geisha Washed,95,"Huehuetenango Department, Guatemala",Light,9,9,9,9,9,Classic flowers and citrus. Thrillingly complex; manages to be bright and light yet resonantly deep.
Guatemala El Injerto Legendary Geisha Natural Lot E1-06,94,"Huehuetenango Department, Guatemala",Light,9,8,9,9,9,"Both bright yet resonantly deep. Meets the challenge of the tricky natural processing method with clean, striking success."
Guatemala Washed Finca La Hermosa Gesha Peaberry,94,"Acatenango growing region, Guatemala",Medium-Light,9,9,9,9,8,"Juicy and alive. Classic in outline, complex in detail."
Guatemala Antigua Bella Carmona Geisha,92,"Antigua valley, Guatemala",Light,9,9,8,8,8,Here the Geisha flowers arrive with an herby twist and lime-toned brightness.
Guatemala Finca La Linea Gesha,93,"Huehuetenango Department, Guatemala",Light,9,8,9,9,8,"A dessert-in-the-cup style coffee; opulent, fruit-toned, chocolaty."
Guatemala Bella Carmona,93,"Antigua Valley, Guatemala",Medium-Light,9,8,9,9,8,"An impressive example of the Guatemala of tradition: balanced, round, chocolate-toned."
Chich’upao Guatemala,93,"Rabinal Municipality, Baja Verapaz Department, Guatemala",Light,9,8,9,9,8,"Perhaps the rounding and sweetening impact of the fruit flesh left on the beans during this coffee’s red honey processing contributes to its impressive fusion of sweetness and a finely calibrated, raspberry-toned acidity."
Organic Guatemala Tojquia,92,"Huehuetenango Department, Guatemala",Light,9,8,8,9,8,A basket of temperate fruit drives this classically balanced coffee. Lift a cup to its hard-working small-holding producer as you enjoy it.
Guatemala El Socorro Laurina,91,"Palencia, Guatemala Department, Guatemala",Light,9,8,8,9,7,A naturally low-caffeine coffee with a sweet-savory structure and pleasing floral and chocolate notes.
Vista Hermosa Marago-Pache,91,"Huehuetenango Department, Guatemala",Light,9,9,8,8,7,"Classic aroma and svelte, balanced structure distinguish this coffee, from a roaster focused both on distinctive coffees and equity for the producers of those coffees."
Qunqana Ethiopia,95,"Sidamo growing region, Ethiopia",Light,9,9,9,9,9,"A plush, juicy, very sweet Ethiopia honey, integrated, vibrant and harmonious."
Finca La Reserva Colombia Gesha Honey,95,"Ciudad Bolivar, Antioquia Department, Colombia",Medium-Light,9,9,9,9,9,"With its intense, candy-like sweetness and rich floral tones, this honey-processed anaerobic Colombia Gesha could easily be mistaken for a full natural — flavor-saturated and focused, both aromatically and on the palate."
Ethiopia Ayla Bombe,96,"Sidamo growing region, southern Ethiopia",Medium-Light,10,9,9,9,9,"A lushly aromatic, flavor-saturated, elegant powerhouse — tantalizing on the nose and delivers in the cup."
